model_name,organization,announcement_date,total_params,active_params,param_disclosure,param_source_note,architecture_type,context_window,open_weights,frontier_at_release,frontier_open_at_release,cap_text,cap_vision,cap_audio,cap_video,cap_code_specialized,cap_reasoning,cap_tool_use,release_url,supporting_url
Nemotron-4 15B,NVIDIA,2024-02-26,15000000000,15000000000,official,Tech report paper; weights not publicly released at the time,dense,4096,false,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2402.16819,
Nemotron-4 340B,NVIDIA,2024-06-14,340000000000,340000000000,official,"HF card supports 4096 context window and dense GQA+RoPE architecture details",dense,4096,true,false,true,true,false,false,false,false,false,false,https://blogs.nvidia.com/blog/nemotron-4-synthetic-data-generation-llm-training/,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct
Nemotron-Mini-4B-Instruct,NVIDIA,2024-09-18,4000000000,4000000000,official,Distilled/pruned from Nemotron-4 15B via Minitron,dense,4096,true,false,false,true,false,false,false,false,false,true,https://huggingface.co/nvidia/Nemotron-Mini-4B-Instruct,
Llama-3.1-Nemotron-70B-Instruct,NVIDIA,2024-10-15,70000000000,70000000000,official,"RLHF fine-tune of Llama-3.1-70B-Instruct with HelpSteer2. cap_tool_use=false — researcher had set true assuming Llama 3.1 tool-use carries over, but the HF model card describes RLHF response-quality tuning only and does not mention function calling; per source-substantiation, match the cited URL.",dense,128000,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct,
Llama-3.1-Nemotron-Nano-8B-v1,NVIDIA,2025-03-18,8000000000,8000000000,official,NAS-distilled reasoning variant of Llama 3.1 8B,dense,128000,true,false,false,true,false,false,false,false,true,true,https://huggingface.co/nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Llama-3.3-Nemotron-Super-49B-v1,NVIDIA,2025-03-18,49000000000,49000000000,official,"NAS-distilled from Llama-3.3-70B; supporting URL is GTC 2025 launch press release",dense,128000,true,false,false,true,false,false,false,false,true,true,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1,https://nvidianews.nvidia.com/news/nvidia-launches-family-of-open-reasoning-ai-models-for-developers-and-enterprises-to-build-agentic-ai-platforms
Llama-3.1-Nemotron-Ultra-253B-v1,NVIDIA,2025-04-07,253000000000,253000000000,official,"NAS-distilled from Llama-3.1-405B; supporting URL is NVIDIA developer blog announcing the Llama Nemotron reasoning family",dense,128000,true,false,false,true,false,false,false,false,true,true,https://huggingface.co/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,https://developer.nvidia.com/blog/build-enterprise-ai-agents-with-advanced-open-nvidia-llama-nemotron-reasoning-models/
Nemotron-H-56B-Base,NVIDIA,2025-04-14,56000000000,56000000000,official,"HF model card supports 8k context and Nemotron-H hybrid Mamba-2+Transformer architecture (Mamba-2 MLP + 10 attention layers)",hybrid,8192,true,false,false,true,false,false,false,false,false,false,https://arxiv.org/abs/2504.03624,https://huggingface.co/nvidia/Nemotron-H-56B-Base-8K
NVIDIA-Nemotron-Nano-9B-v2,NVIDIA,2025-08-18,9000000000,9000000000,official,Hybrid Mamba-2+Transformer compressed from 12B base via Minitron,hybrid,128000,true,false,false,true,false,false,false,false,true,true,https://huggingface.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2,
NVIDIA-Nemotron-3-Nano-30B-A3B,NVIDIA,2025-12-15,30000000000,3500000000,official,"Hybrid Mamba-2 + Transformer + MoE (128 routed + 1 shared experts, 6 activated); supporting URL is NVIDIA newsroom launch of Nemotron 3 family. context_window 256000 is the default per HF model card; 1M is the extended max — using default per PLAN.md 'release-time value' rule.",hybrid,256000,true,false,false,true,false,false,false,false,true,true,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,https://nvidianews.nvidia.com/news/nvidia-debuts-nemotron-3-family-of-open-models
NVIDIA-Nemotron-3-Super-120B-A12B,NVIDIA,2026-03-11,120000000000,12000000000,official,"Hybrid Mamba-2 + Transformer + LatentMoE with Multi-Token Prediction; NVFP4 pretraining on Blackwell; supporting URL is HF card with arch and param details",hybrid,1000000,true,false,false,true,false,false,false,false,true,true,https://developer.nvidia.com/blog/introducing-nemotron-3-super-an-open-hybrid-mamba-transformer-moe-for-agentic-reasoning/,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8
