model_name,organization,announcement_date,total_params,active_params,param_disclosure,param_source_note,architecture_type,context_window,open_weights,frontier_at_release,frontier_open_at_release,cap_text,cap_vision,cap_audio,cap_video,cap_code_specialized,cap_reasoning,cap_tool_use,release_url,supporting_url
Yi-6B,01.AI,2023-11-02,6000000000,6000000000,official,,dense,4096,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/01-ai/Yi-6B,
Yi-34B,01.AI,2023-11-02,34000000000,34000000000,official,,dense,4096,true,false,true,true,false,false,false,false,false,false,https://huggingface.co/01-ai/Yi-34B,
Yi-VL-6B,01.AI,2024-01-23,6600000000,6600000000,official,"6B Yi-6B-Chat decoder + ~0.6B CLIP ViT-H/14 vision encoder (LLaVA-style). Totals summed per PLAN.md convention.",dense,4096,true,false,false,true,true,false,false,false,false,false,https://huggingface.co/01-ai/Yi-VL-6B,
Yi-VL-34B,01.AI,2024-01-23,34600000000,34600000000,official,"34B Yi-34B-Chat decoder + ~0.6B CLIP ViT-H/14 vision encoder (LLaVA-style). Totals summed per PLAN.md convention.",dense,4096,true,false,false,true,true,false,false,false,false,false,https://huggingface.co/01-ai/Yi-VL-34B,
Yi-9B,01.AI,2024-03-06,9000000000,9000000000,official,"HF 'Model size' tag = 9B; built by depth-expanding Yi-6B (48 layers from 32) and continuing pretraining with 0.8T tokens.",dense,4096,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/01-ai/Yi-9B,
Yi-1.5 9B,01.AI,2024-05-13,9000000000,9000000000,official,,dense,4096,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/01-ai/Yi-1.5-9B,
Yi-1.5 34B,01.AI,2024-05-13,34000000000,34000000000,official,,dense,4096,true,false,false,true,false,false,false,false,false,false,https://huggingface.co/01-ai/Yi-1.5-34B,
Yi-Large,01.AI,2024-05-13,,,unknown,"01.AI has not officially disclosed parameter count or architecture; Chinese tech press (Pandaily) cited trillion-parameter figures, uncorroborated. Context window 32K per 01.ai platform docs.",dense,32768,false,false,false,true,false,false,false,false,false,true,https://www.01.ai/yi-models,https://platform.01.ai/docs
Yi-Lightning,01.AI,2024-10-16,,,unknown,"MoE architecture per tech report (arXiv:2412.01253) but total/active parameter counts deliberately not disclosed by 01.AI.",MoE,65536,false,false,false,true,false,false,false,false,false,true,https://arxiv.org/abs/2412.01253,https://x.com/01AI_Yi/status/1845776529185476613
Yi-Coder-1.5B,01.AI,2024-09-05,1500000000,1500000000,official,,dense,128000,true,false,false,true,false,false,false,true,false,false,https://huggingface.co/01-ai/Yi-Coder-1.5B,
Yi-Coder-9B,01.AI,2024-09-05,9000000000,9000000000,official,,dense,128000,true,false,false,true,false,false,false,true,false,false,https://huggingface.co/01-ai/Yi-Coder-9B,
